As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,HAYN,HAYNES INTERNATIONAL INC COMMON STOCK USD.001,0.0006143900,85204.1600000000
2020-12-31,SCU,SCULPTOR CAPITAL MANAGEMENT COMMON STOCK,0.0006137800,85120.0000000000
2020-12-31,MEIP,MEI PHARMA INC COMMON STOCK USD.00000002,0.0006125500,84949.9200000000
2020-12-31,CULP,CULP INC COMMON STOCK USD.05,0.0006087900,84428.4000000000
2020-12-31,POWL,POWELL INDUSTRIES INC COMMON STOCK USD.01,0.0006085900,84400.3800000000
2020-12-31,UTI,UNIVERSAL TECHNICAL INSTITUT COMMON STOCK USD.0001,0.0006083100,84361.1400000000
2020-12-31,LPTX,LEAP THERAPEUTICS INC COMMON STOCK,0.0006071700,84204.0000000000
2020-12-31,EVLO,EVELO BIOSCIENCES INC COMMON STOCK,0.0006069300,84170.5800000000
2020-12-31,NKSH,NATIONAL BANKSHARES INC/VA COMMON STOCK USD1.25,0.0006068700,84161.2800000000
2020-12-31,CZNC,CITIZENS + NORTHERN CORP COMMON STOCK USD1.0,0.0006050100,83903.3600000000
2020-12-31,HFFG,HF FOODS GROUP INC COMMON STOCK,0.0006039600,83757.7600000000
2020-12-31,ESCA,ESCALADE INC COMMON STOCK,0.0006037400,83727.3500000000
2020-12-31,LEGH,LEGACY HOUSING CORP COMMON STOCK USD.001,0.0006029500,83618.7400000000
2020-12-31,CONN,CONN S INC COMMON STOCK USD.01,0.0006021100,83501.6700000000
2020-12-31,GNTY,GUARANTY BANCSHARES INC COMMON STOCK USD1.0,0.0006003700,83261.0000000000
2020-12-31,GRIF,GRIFFIN INDUSTRIAL REALTY IN COMMON STOCK USD.01,0.0006003000,83250.0000000000
2020-12-31,XBIT,XBIOTECH INC COMMON STOCK,0.0005999000,83195.4000000000
2020-12-31,IVC,INVACARE CORP COMMON STOCK USD.25,0.0005949000,82501.1000000000
2020-12-31,INBX,INHIBRX INC COMMON STOCK USD.0001,0.0005943500,82425.0000000000
2020-12-31,TFFP,TFF PHARMACEUTICALS INC COMMON STOCK USD.001,0.0005939400,82368.6400000000
2020-12-31,GNPX,GENPREX INC COMMON STOCK USD.001,0.0005919400,82091.1500000000
2020-12-31,NWPX,NORTHWEST PIPE CO COMMON STOCK USD.01,0.0005909700,81956.8000000000
2020-12-31,PFHD,PROFESSIONAL HOLDING CORP A COMMON STOCK,0.0005890200,81686.4200000000
2020-12-31,FVCB,FVCBANKCORP INC COMMON STOCK USD.01,0.0005888200,81658.5000000000
2020-12-31,IDT,IDT CORP CLASS B COMMON STOCK USD.01,0.0005882200,81576.0000000000
2020-12-31,SONA,SOUTHERN NATL BANCORP OF VA COMMON STOCK USD.01,0.0005876800,81500.3000000000
2020-12-31,KRMD,REPRO MEDSYSTEMS INC COMMON STOCK USD.01,0.0005868900,81390.4000000000
2020-12-31,CLFD,CLEARFIELD INC COMMON STOCK USD.01,0.0005866200,81353.5200000000
2020-12-31,DGICA,DONEGAL GROUP INC CL A COMMON STOCK USD.01,0.0005866100,81352.7400000000
2020-12-31,KIN,KINDRED BIOSCIENCES INC COMMON STOCK USD.0001,0.0005843700,81040.9300000000
2020-12-31,RAPT,RAPT THERAPEUTICS INC COMMON STOCK,0.0005810400,80580.0000000000
2020-12-31,MOFG,MIDWESTONE FINANCIAL GROUP I COMMON STOCK USD.01,0.0005761000,79894.5000000000
2020-12-31,NATR,NATURES SUNSHINE PRODS INC COMMON STOCK,0.0005744700,79668.5500000000
2020-12-31,CTRA,CONTURA ENERGY INC COMMON STOCK USD.01,0.0005729200,79453.5600000000
2020-12-31,GHL,GREENHILL + CO INC COMMON STOCK USD.01,0.0005724100,79383.4600000000
2020-12-31,AOUT,AMERICAN OUTDOOR BRANDS INC COMMON STOCK,0.0005696700,79002.1700000000
2020-12-31,CKPT,CHECKPOINT THERAPEUTICS INC COMMON STOCK USD.0001,0.0005676400,78720.9000000000
2020-12-31,GFN,GENERAL FINANCE CORP COMMON STOCK USD.0001,0.0005664500,78555.8100000000
2020-12-31,AXDX,ACCELERATE DIAGNOSTICS INC COMMON STOCK,0.0005629700,78074.0000000000
2020-12-31,IBIO,IBIO INC COMMON STOCK USD.001,0.0005603000,77703.1500000000
2020-12-31,MVBF,MVB FINANCIAL CORP COMMON STOCK USD1.0,0.0005598000,77633.6400000000
2020-12-31,HOOK,HOOKIPA PHARMA INC COMMON STOCK,0.0005597700,77630.0000000000
2020-12-31,ADMS,ADAMAS PHARMACEUTICALS INC COMMON STOCK USD.001,0.0005580400,77390.0900000000
2020-12-31,OPTN,OPTINOSE INC COMMON STOCK USD.001,0.0005579100,77372.4600000000
2020-12-31,VRCA,VERRICA PHARMACEUTICALS INC COMMON STOCK USD.0001,0.0005569800,77243.6100000000
2020-12-31,IIN,INTRICON CORP COMMON STOCK USD1.0,0.0005554700,77033.6000000000
2020-12-31,CPLG,COREPOINT LODGING INC REIT USD.01,0.0005538500,76808.3200000000
2020-12-31,LIVX,LIVEXLIVE MEDIA INC COMMON STOCK USD.001,0.0005533000,76732.3200000000
2020-12-31,COFS,CHOICEONE FINANCIAL SVCS INC COMMON STOCK,0.0005518500,76532.0400000000
2020-12-31,SESN,SESEN BIO INC COMMON STOCK USD.001,0.0005486000,76080.6000000000
2020-12-31,LCUT,LIFETIME BRANDS INC COMMON STOCK USD.01,0.0005480200,76000.0000000000
2020-12-31,SMSI,SMITH MICRO SOFTWARE INC COMMON STOCK USD.001,0.0005473900,75912.5200000000
2020-12-31,SMMF,SUMMIT FINANCIAL GROUP INC COMMON STOCK USD2.5,0.0005465800,75800.6400000000
2020-12-31,CALB,CALIFORNIA BANCORP INC COMMON STOCK,0.0005451800,75606.0400000000
2020-12-31,CDR,CEDAR REALTY TRUST INC REIT USD.06,0.0005441100,75458.3700000000
2020-12-31,BH,BIGLARI HOLDINGS INC B COMMON STOCK,0.0005436400,75393.6000000000
2020-12-31,OYST,OYSTER POINT PHARMA INC COMMON STOCK USD.001,0.0005436400,75392.9200000000
2020-12-31,UFI,UNIFI INC COMMON STOCK USD.1,0.0005434000,75359.5200000000
2020-12-31,AGS,PLAYAGS INC COMMON STOCK USD.01,0.0005430600,75312.0000000000
2020-12-31,PLRX,PLIANT THERAPEUTICS INC COMMON STOCK,0.0005414500,75089.6000000000
2020-12-31,LMNR,LIMONEIRA CO COMMON STOCK USD.01,0.0005402700,74925.0000000000
2020-12-31,SOI,SOLARIS OILFIELD INFRAST A COMMON STOCK USD.01,0.0005393500,74798.4600000000
2020-12-31,NTST,NETSTREIT CORP REIT USD.01,0.0005391000,74763.6400000000
2020-12-31,RFL,RAFAEL HOLDINGS INC CLASS B COMMON STOCK USD.01,0.0005381000,74624.0000000000
2020-12-31,SNCR,SYNCHRONOSS TECHNOLOGIES INC COMMON STOCK USD.0001,0.0005375000,74542.0000000000
2020-12-31,SMBK,SMARTFINANCIAL INC COMMON STOCK USD1.0,0.0005369500,74464.7000000000
2020-12-31,CASI,CASI PHARMACEUTICALS INC COMMON STOCK USD.01,0.0005363700,74384.2500000000
2020-12-31,SGC,SUPERIOR GROUP OF COS INC COMMON STOCK,0.0005362500,74368.0000000000
2020-12-31,DLHC,DLH HOLDINGS CORP COMMON STOCK USD.001,0.0005359500,74327.0000000000
2020-12-31,MIRM,MIRUM PHARMACEUTICALS INC COMMON STOCK,0.0005357000,74292.3000000000
2020-12-31,ABUS,ARBUTUS BIOPHARMA CORP COMMON STOCK,0.0005353100,74237.6000000000
2020-12-31,STRT,STRATTEC SECURITY CORP COMMON STOCK USD.01,0.0005338800,74040.0000000000
2020-12-31,BCML,BAYCOM CORP COMMON STOCK,0.0005327200,73877.9000000000
2020-12-31,BATRA,LIBERTY MEDIA CORP BRAVES A TRACKING STK,0.0005295700,73441.1100000000
2020-12-31,RVI,RETAIL VALUE INC REIT USD.1,0.0005291500,73383.4500000000
2020-12-31,ZYXI,ZYNEX INC COMMON STOCK USD.001,0.0005290600,73370.4600000000
2020-12-31,FNKO,FUNKO INC CLASS A COMMON STOCK USD.0001,0.0005289500,73355.4600000000
2020-12-31,CODX,CO DIAGNOSTICS INC COMMON STOCK USD.001,0.0005274300,73144.5000000000
2020-12-31,OCX,ONCOCYTE CORP COMMON STOCK,0.0005271800,73110.1000000000
2020-12-31,CLSD,CLEARSIDE BIOMEDICAL INC COMMON STOCK USD.001,0.0005250500,72815.5000000000
2020-12-31,AVEO,AVEO PHARMACEUTICALS INC COMMON STOCK USD.001,0.0005234500,72592.3700000000
2020-12-31,CMRX,CHIMERIX INC COMMON STOCK USD.001,0.0005224200,72450.0000000000
2020-12-31,SPFI,SOUTH PLAINS FINANCIAL INC COMMON STOCK USD1.0,0.0005192500,72010.0000000000
2020-12-31,EBTC,ENTERPRISE BANCORP INC COMMON STOCK USD.01,0.0005188100,71948.8000000000
2020-12-31,CHMI,CHERRY HILL MORTGAGE INVESTM REIT USD.01,0.0005160500,71566.2000000000
2020-12-31,TREC,TRECORA RESOURCES COMMON STOCK USD.1,0.0005153200,71465.7600000000
2020-12-31,SMED,SHARPS COMPLIANCE CORP COMMON STOCK USD.01,0.0005151500,71442.0000000000
2020-12-31,FLNT,FLUENT INC COMMON STOCK,0.0005142600,71318.6100000000
2020-12-31,WNEB,WESTERN NEW ENGLAND BANCORP COMMON STOCK USD.01,0.0005141600,71304.6100000000
2020-12-31,CBNK,CAPITAL BANCORP INC/MD COMMON STOCK USD.01,0.0005140800,71293.7400000000
2020-12-31,PICO,PICO HOLDINGS INC COMMON STOCK USD.001,0.0005096300,70676.6500000000
2020-12-31,ASMB,ASSEMBLY BIOSCIENCES INC COMMON STOCK USD.001,0.0005096300,70676.1000000000
2020-12-31,TUSK,MAMMOTH ENERGY SERVICES INC COMMON STOCK USD.01,0.0005083700,70501.3500000000
2020-12-31,INVE,IDENTIV INC COMMON STOCK USD.001,0.0005079800,70448.0000000000
2020-12-31,SWKH,SWK HOLDINGS CORP COMMON STOCK USD.001,0.0005062600,70208.8100000000
2020-12-31,PSTL,POSTAL REALTY TRUST INC  A COMMON STOCK USD.01,0.0005056100,70119.5200000000
2020-12-31,TRNS,TRANSCAT INC COMMON STOCK USD.5,0.0005033900,69810.8400000000
2020-12-31,CHS,CHICO S FAS INC COMMON STOCK USD.01,0.0004992400,69234.9600000000
2020-12-31,DZSI,DZS INC COMMON STOCK USD.001,0.0004986300,69150.9000000000
2020-12-31,NCMI,NATIONAL CINEMEDIA INC COMMON STOCK USD.01,0.0004975000,68994.8400000000
2020-12-31,BTU,PEABODY ENERGY CORP COMMON STOCK,0.0004974400,68986.2500000000
2020-12-31,TLYS,TILLY S INC CLASS A SHRS COMMON STOCK USD.001,0.0004957200,68748.0000000000
2020-12-31,ALCO,ALICO INC COMMON STOCK USD1.0,0.0004950000,68647.2600000000
2020-12-31,PLPC,PREFORMED LINE PRODUCTS CO COMMON STOCK USD2.0,0.0004935000,68440.0000000000
2020-12-31,VRTV,VERITIV CORP COMMON STOCK USD.01,0.0004914100,68149.6200000000
2020-12-31,CATO,CATO CORP CLASS A COMMON STOCK USD.033,0.0004909700,68089.0000000000
2020-12-31,ULH,UNIVERSAL LOGISTICS HOLDINGS COMMON STOCK,0.0004899500,67947.0000000000
2020-12-31,GWRS,GLOBAL WATER RESOURCES INC COMMON STOCK USD.01,0.0004877400,67640.5400000000
2020-12-31,SHBI,SHORE BANCSHARES INC COMMON STOCK USD.01,0.0004873300,67583.4000000000
2020-12-31,LINC,LINCOLN EDUCATIONAL SERVICES COMMON STOCK,0.0004857600,67366.0000000000
2020-12-31,TWI,TITAN INTERNATIONAL INC COMMON STOCK,0.0004831600,67004.8200000000
2020-12-31,LBC,LUTHER BURBANK CORP COMMON STOCK,0.0004820100,66845.8000000000
2020-12-31,LCNB,LCNB CORPORATION COMMON STOCK,0.0004804800,66633.8400000000
2020-12-31,CIVB,CIVISTA BANCSHARES INC COMMON STOCK,0.0004798300,66543.8800000000
2020-12-31,SLNO,SOLENO THERAPEUTICS INC COMMON STOCK USD.001,0.0004793600,66478.8500000000
2020-12-31,FLXS,FLEXSTEEL INDS COMMON STOCK USD1.0,0.0004791000,66443.0000000000
2020-12-31,TCDA,TRICIDA INC COMMON STOCK,0.0004788700,66411.0000000000
2020-12-31,HOV,HOVNANIAN ENTERPRISES A COMMON STOCK USD.01,0.0004786300,66377.2000000000
2020-12-31,DAKT,DAKTRONICS INC COMMON STOCK,0.0004781900,66315.6000000000
2020-12-31,SFST,SOUTHERN FIRST BANCSHARES COMMON STOCK USD.01,0.0004779400,66281.2500000000
2020-12-31,RESN,RESONANT INC COMMON STOCK USD.001,0.0004775200,66223.5000000000
2020-12-31,REVG,REV GROUP INC COMMON STOCK USD.001,0.0004764500,66075.0000000000
2020-12-31,UBX,UNITY BIOTECHNOLOGY INC COMMON STOCK USD.0001,0.0004758600,65992.5600000000
2020-12-31,DRIO,DARIOHEALTH CORP COMMON STOCK,0.0004739900,65734.0000000000
2020-12-31,IPI,INTREPID POTASH INC COMMON STOCK USD.001,0.0004734900,65663.8500000000
2020-12-31,SBBP,STRONGBRIDGE BIOPHARMA PLC COMMON STOCK USD.01,0.0004733800,65648.8800000000
2020-12-31,EVC,ENTRAVISION COMMUNICATIONS A COMMON STOCK USD.0001,0.0004725600,65535.2500000000
2020-12-31,TELA,TELA BIO INC COMMON STOCK USD.001,0.0004713200,65363.8400000000
2020-12-31,LARK,LANDMARK BANCORP INC COMMON STOCK USD.01,0.0004712300,65351.0000000000
2020-12-31,HBT,HBT FINANCIAL INC/DE COMMON STOCK USD.01,0.0004700700,65190.4500000000
2020-12-31,FCAP,FIRST CAPITAL INC COMMON STOCK USD.01,0.0004690000,65041.4400000000
2020-12-31,OCN,OCWEN FINANCIAL CORP COMMON STOCK USD.01,0.0004686200,64989.7100000000
2020-12-31,CECE,CECO ENVIRONMENTAL CORP COMMON STOCK USD.01,0.0004679400,64895.0400000000
2020-12-31,LEAF,LEAF GROUP LTD COMMON STOCK USD.0001,0.0004661300,64644.3000000000
2020-12-31,TCS,CONTAINER STORE GROUP INC/TH COMMON STOCK USD.01,0.0004646800,64442.7000000000
2020-12-31,CTIC,CTI BIOPHARMA CORP COMMON STOCK,0.0004643700,64400.0000000000
2020-12-31,GEOS,GEOSPACE TECHNOLOGIES CORP COMMON STOCK USD.01,0.0004603400,63840.4800000000
2020-12-31,FC,FRANKLIN COVEY CO COMMON STOCK USD.05,0.0004594300,63714.4700000000
2020-12-31,RLGT,RADIANT LOGISTICS INC COMMON STOCK USD.001,0.0004593400,63701.4000000000
2020-12-31,ITIC,INVESTORS TITLE CO COMMON STOCK,0.0004589500,63648.0000000000
2020-12-31,RYI,RYERSON HOLDING CORP COMMON STOCK USD.01,0.0004582300,63548.7600000000
2020-12-31,INFI,INFINITY PHARMACEUTICALS INC COMMON STOCK USD.001,0.0004578100,63489.7600000000
2020-12-31,PTVCB,PROTECTIVE INSURANCE CORP  B COMMON STOCK,0.0004554500,63161.9700000000
2020-12-31,TAST,CARROLS RESTAURANT GROUP INC COMMON STOCK USD.01,0.0004545600,63038.6400000000
2020-12-31,GSIT,GSI TECHNOLOGY INC COMMON STOCK USD.001,0.0004535600,62900.0000000000
2020-12-31,STXB,SPIRIT OF TEXAS BANCSHARES I COMMON STOCK NPV,0.0004506400,62496.0000000000
2020-12-31,LXRX,LEXICON PHARMACEUTICALS INC COMMON STOCK USD.001,0.0004491700,62291.8800000000
2020-12-31,MGTA,MAGENTA THERAPEUTICS INC COMMON STOCK USD.001,0.0004481900,62155.5200000000
2020-12-31,PINE,ALPINE INCOME PROPERTY TRUST REIT USD.01,0.0004473800,62043.6100000000
2020-12-31,APYX,APYX MEDICAL CORP COMMON STOCK USD.001,0.0004464900,61920.0000000000
2020-12-31,TBNK,TERRITORIAL BANCORP INC COMMON STOCK USD.01,0.0004454900,61781.1300000000
2020-12-31,PCB,PCB BANCORP COMMON STOCK,0.0004448400,61691.2200000000
2020-12-31,RBB,RBB BANCORP COMMON STOCK,0.0004447100,61673.8000000000
2020-12-31,ACNB,ACNB CORP COMMON STOCK USD2.5,0.0004440000,61575.0000000000
2020-12-31,PZN,PZENA INVESTMENT MANAGM CL A COMMON STOCK USD.01,0.0004437400,61539.0000000000
2020-12-31,TNXP,TONIX PHARMACEUTICALS HOLDIN COMMON STOCK USD.001,0.0004433900,61490.4800000000
2020-12-31,SAVA,CASSAVA SCIENCES INC COMMON STOCK USD.001,0.0004426000,61380.0000000000
2020-12-31,PCTI,PCTEL INC COMMON STOCK USD.001,0.0004424300,61357.2300000000
2020-12-31,STND,STANDARD AVB FINANCIAL CORP COMMON STOCK USD.01,0.0004399200,61008.4800000000
2020-12-31,LEVL,LEVEL ONE BANCORP INC COMMON STOCK,0.0004392300,60912.5300000000
2020-12-31,CDXC,CHROMADEX CORP COMMON STOCK USD.001,0.0004392200,60912.0000000000
2020-12-31,APTX,APTINYX INC COMMON STOCK USD.01,0.0004388600,60861.4000000000
2020-12-31,CMLS,CUMULUS MEDIA INC CL A COMMON STOCK USD.01,0.0004383200,60787.1200000000
2020-12-31,EMKR,EMCORE CORP COMMON STOCK,0.0004380600,60751.1500000000
2020-12-31,TSBK,TIMBERLAND BANCORP INC COMMON STOCK USD.01,0.0004376800,60698.5200000000
2020-12-31,MCBC,MACATAWA BANK CORP COMMON STOCK,0.0004374500,60665.7600000000
2020-12-31,FRBA,FIRST BANK/HAMILTON NJ COMMON STOCK USD.01,0.0004363300,60510.3800000000
2020-12-31,ACTG,ACACIA RESEARCH CORP COMMON STOCK USD.001,0.0004363000,60506.5800000000
2020-12-31,AIRG,AIRGAIN INC COMMON STOCK USD.0001,0.0004360300,60469.7800000000
2020-12-31,GPX,GP STRATEGIES CORP COMMON STOCK USD.01,0.0004349500,60319.9600000000
2020-12-31,HURC,HURCO COMPANIES INC COMMON STOCK,0.0004326500,60000.0000000000
2020-12-31,VNRX,VOLITIONRX LTD COMMON STOCK USD.001,0.0004315200,59843.7600000000
2020-12-31,CEIX,CONSOL ENERGY INC COMMON STOCK USD.01,0.0004299500,59626.7000000000
2020-12-31,BBCP,CONCRETE PUMPING HOLDINGS IN COMMON STOCK USD.0001,0.0004282000,59384.1500000000
2020-12-31,AQST,AQUESTIVE THERAPEUTICS INC COMMON STOCK USD.001,0.0004273200,59261.9500000000
2020-12-31,JNCE,JOUNCE THERAPEUTICS INC COMMON STOCK USD.001,0.0004270200,59220.0000000000
2020-12-31,INZY,INOZYME PHARMA INC COMMON STOCK,0.0004252100,58968.4800000000
2020-12-31,TTOO,T2 BIOSYSTEMS INC COMMON STOCK USD.001,0.0004248500,58918.6000000000
2020-12-31,GSAT,GLOBALSTAR INC COMMON STOCK USD.0001,0.0004242900,58840.8900000000
2020-12-31,CABA,CABALETTA BIO INC COMMON STOCK USD.00001,0.0004229500,58656.0000000000
2020-12-31,PWOD,PENNS WOODS BANCORP INC COMMON STOCK USD5.55,0.0004219900,58522.5000000000
2020-12-31,SPOK,SPOK HOLDINGS INC COMMON STOCK USD.0001,0.0004205400,58321.2000000000
2020-12-31,AUBN,AUBURN NATL BANCORPORATION COMMON STOCK USD.01,0.0004181600,57990.7900000000
2020-12-31,KZR,KEZAR LIFE SCIENCES INC COMMON STOCK USD.001,0.0004172400,57863.7000000000
2020-12-31,ETNB,89BIO INC COMMON STOCK USD.001,0.0004152400,57586.3100000000
2020-12-31,CIZN,CITIZENS HOLDING COMPANY COMMON STOCK USD.2,0.0004149800,57549.6500000000
2020-12-31,EGLE,EAGLE BULK SHIPPING INC COMMON STOCK USD.01,0.0004148500,57532.0000000000
2020-12-31,GSKY,GREENSKY INC CLASS A COMMON STOCK,0.0004139800,57412.0000000000
2020-12-31,ATLO,AMES NATIONAL CORP COMMON STOCK USD2.0,0.0004137800,57383.7800000000
2020-12-31,,ESC NII HLDGS INC BE COMMON STOCK,0.0004137500,57379.0800000000
2020-12-31,LCI,LANNETT CO INC COMMON STOCK USD.001,0.0004137200,57376.0000000000
2020-12-31,PROS,PROSIGHT GLOBAL INC COMMON STOCK USD.01,0.0004125200,57208.9700000000
2020-12-31,NREF,NEXPOINT REAL ESTATE FINANCE REIT USD.01,0.0004124000,57192.2400000000
2020-12-31,KALV,KALVISTA PHARMACEUTICALS INC COMMON STOCK USD.001,0.0004108000,56970.0000000000
2020-12-31,USX,US XPRESS ENTERPRISES INC  A COMMON STOCK USD.01,0.0004107000,56956.6800000000
2020-12-31,KVHI,KVH INDUSTRIES INC COMMON STOCK USD.01,0.0004092100,56750.0000000000
2020-12-31,PAYS,PAYSIGN INC COMMON STOCK,0.0004090200,56724.0000000000
2020-12-31,HBMD,HOWARD BANCORP INC COMMON STOCK USD.01,0.0004087600,56688.0000000000
2020-12-31,ICBK,COUNTY BANCORP INC COMMON STOCK USD.01,0.0004087000,56679.3600000000
2020-12-31,CVCY,CENTRAL VALLEY COMM BANCORP COMMON STOCK,0.0004031700,55911.9500000000
2020-12-31,FSFG,FIRST SAVINGS FINANCIAL GRP COMMON STOCK USD.01,0.0004030800,55900.0000000000
2020-12-31,VYGR,VOYAGER THERAPEUTICS INC COMMON STOCK USD.001,0.0004026100,55834.3500000000
2020-12-31,DSSI,DIAMOND S SHIPPING INC COMMON STOCK USD.001,0.0004025300,55824.1200000000
2020-12-31,PBFS,PIONEER BANCORP INC/NY COMMON STOCK USD.01,0.0004018200,55725.0400000000
2020-12-31,UROV,UROVANT SCIENCES LTD COMMON STOCK USD.000037453,0.0004004500,55535.5900000000
2020-12-31,BVH,BLUEGREEN VACATIONS HOLDING COMMON STOCK USD.01,0.0003984400,55256.5200000000
2020-12-31,MNOV,MEDICINOVA INC COMMON STOCK USD.001,0.0003957800,54888.1000000000
2020-12-31,RES,RPC INC COMMON STOCK USD.1,0.0003956300,54866.7000000000
2020-12-31,LYTS,LSI INDUSTRIES INC COMMON STOCK,0.0003949100,54766.8800000000
2020-12-31,ODC,OIL DRI CORP OF AMERICA COMMON STOCK USD.1,0.0003931900,54528.0000000000
2020-12-31,HBCP,HOME BANCORP INC COMMON STOCK USD.01,0.0003927600,54468.5400000000
2020-12-31,AXLA,AXCELLA HEALTH INC COMMON STOCK USD.001,0.0003922800,54401.5800000000
2020-12-31,CASA,CASA SYSTEMS INC COMMON STOCK,0.0003915200,54296.0000000000
2020-12-31,EBMT,EAGLE BANCORP MONTANA INC COMMON STOCK USD.01,0.0003914100,54280.7600000000
2020-12-31,WTI,W+T OFFSHORE INC COMMON STOCK USD.00001,0.0003911800,54250.0000000000
2020-12-31,SCWX,SECUREWORKS CORP   A COMMON STOCK USD.01,0.0003903600,54135.5400000000
2020-12-31,AJX,GREAT AJAX CORP REIT USD.01,0.0003903200,54130.5000000000
2020-12-31,SIC,SELECT INTERIOR CONCEPTS A COMMON STOCK USD.01,0.0003868800,53653.6000000000
2020-12-31,ZVO,ZOVIO INC COMMON STOCK USD.01,0.0003849200,53381.8800000000
2020-12-31,CBMG,CELLULAR BIOMEDICINE GROUP I COMMON STOCK USD.001,0.0003843500,53302.0000000000
2020-12-31,FNWB,FIRST NORTHWEST BANCORP COMMON STOCK,0.0003842600,53289.6000000000
2020-12-31,PWFL,POWERFLEET INC COMMON STOCK USD.01,0.0003832300,53146.7900000000
2020-12-31,NR,NEWPARK RESOURCES INC COMMON STOCK USD.01,0.0003818900,52961.2800000000
2020-12-31,III,INFORMATION SERVICES GROUP COMMON STOCK USD.0001,0.0003810700,52847.3600000000
2020-12-31,MRBK,MERIDIAN CORP COMMON STOCK,0.0003796100,52644.8000000000
2020-12-31,ASUR,ASURE SOFTWARE INC COMMON STOCK USD.01,0.0003795200,52632.3000000000
2020-12-31,BELFB,BEL FUSE INC CL B COMMON STOCK USD.1,0.0003793200,52605.0000000000
2020-12-31,AGTC,APPLIED GENETIC TECHNOLOGIES COMMON STOCK USD.001,0.0003780900,52433.8000000000
2020-12-31,TALO,TALOS ENERGY INC COMMON STOCK,0.0003774700,52348.7200000000
2020-12-31,HTBX,HEAT BIOLOGICS INC COMMON STOCK USD.0002,0.0003773400,52329.6800000000
2020-12-31,CSPR,CASPER SLEEP INC COMMON STOCK USD.000001,0.0003769400,52275.0000000000
2020-12-31,PFSW,PFSWEB INC COMMON STOCK USD.001,0.0003752200,52036.3600000000
2020-12-31,BWB,BRIDGEWATER BANCSHARES INC COMMON STOCK USD.001,0.0003749300,51995.8700000000
2020-12-31,AHT,ASHFORD HOSPITALITY TRUST REIT USD.01,0.0003740200,51869.9300000000
2020-12-31,FDBC,FIDELITY D+D BANCORP INC COMMON STOCK,0.0003712700,51488.0000000000
2020-12-31,FSBW,FS BANCORP INC COMMON STOCK,0.0003706500,51402.4000000000
2020-12-31,MFIN,MEDALLION FINANCIAL CORP COMMON STOCK USD.01,0.0003705000,51381.4000000000
2020-12-31,BCLI,BRAINSTORM CELL THERAPEUTICS COMMON STOCK USD.0001,0.0003682800,51073.6800000000
2020-12-31,AAOI,APPLIED OPTOELECTRONICS INC COMMON STOCK USD.001,0.0003681800,51060.0000000000
2020-12-31,BRT,BRT APARTMENTS CORP REIT USD3.0,0.0003664000,50813.6000000000
2020-12-31,MNSB,MAINSTREET BANCSHARES INC COMMON STOCK USD4.0,0.0003658000,50730.0000000000
2020-12-31,ESH1,S+P500 EMINI FUT  MAR21 XCME 20210319,0.0000000000,70664880.0000000000
2020-12-31,1RTYH1,E-MINI RUSS 2000  MAR21 XCME 20210319,0.0000000000,12342500.0000000000
2020-12-31,CNTY,CENTURY CASINOS INC COMMON STOCK USD.01,0.0003656200,50704.6500000000
2020-12-31,HMTV,HEMISPHERE MEDIA GROUP INC COMMON STOCK USD.0001,0.0003653000,50660.4000000000
2020-12-31,WRAP,WRAP TECHNOLOGIES INC COMMON STOCK USD.0001,0.0003644700,50545.9500000000
2020-12-31,RCKY,ROCKY BRANDS INC COMMON STOCK,0.0003643300,50526.0000000000
2020-12-31,TMST,TIMKENSTEEL CORP COMMON STOCK,0.0003635500,50417.3200000000
2020-12-31,IMRA,IMARA INC COMMON STOCK USD.01,0.0003634700,50406.3000000000
2020-12-31,IVAC,INTEVAC INC COMMON STOCK,0.0003615400,50138.3400000000
2020-12-31,NC,NACCO INDUSTRIES CL A COMMON STOCK USD1.0,0.0003603200,49970.0000000000
2020-12-31,CAPR,CAPRICOR THERAPEUTICS INC COMMON STOCK USD.001,0.0003597400,49889.3500000000
2020-12-31,PRGX,PRGX GLOBAL INC COMMON STOCK USD.01,0.0003576200,49595.0000000000
2020-12-31,MACK,MERRIMACK PHARMACEUTICALS IN COMMON STOCK USD.01,0.0003571100,49525.3200000000
2020-12-31,BOCH,BANK OF COMMERCE HOLDINGS COMMON STOCK,0.0003569300,49500.0000000000
2020-12-31,LFVN,LIFEVANTAGE CORP COMMON STOCK USD.0001,0.0003548400,49209.6000000000
2020-12-31,FRBK,REPUBLIC FIRST BANCORP INC COMMON STOCK USD.01,0.0003531400,48974.4000000000
2020-12-31,MRLN,MARLIN BUSINESS SERVICES INC COMMON STOCK USD.01,0.0003530400,48960.0000000000
2020-12-31,SHSP,SHARPSPRING INC COMMON STOCK USD.001,0.0003525300,48888.8400000000
2020-12-31,DYAI,DYADIC INTERNATIONAL INC COMMON STOCK USD.001,0.0003507000,48635.2000000000
2020-12-31,PIRS,PIERIS PHARMACEUTICALS INC COMMON STOCK USD.001,0.0003503900,48592.5000000000
2020-12-31,WEYS,WEYCO GROUP INC COMMON STOCK USD1.0,0.0003501900,48565.4400000000
2020-12-31,SPKE,SPARK ENERGY INC CLASS A COMMON STOCK USD.01,0.0003491100,48414.6300000000
2020-12-31,SLCT,SELECT BANCORP INC COMMON STOCK USD1.0,0.0003482600,48297.0000000000
